node,group
Spain,Western Europe
France,Western Europe
Austria,Central Europe
Italy,Central Europe
Luxembourg,Western Europe
Poland,Eastern Europe
Andorra,Western Europe
Denmark,Central Europe
Switzerland,Central Europe
Netherlands,Western Europe
Portugal,Western Europe
Malta,Western Europe
Belgium,Western Europe
Germany,Central Europe
Czechia,Central Europe
