source,dest,connections
D. Karagiannis (117,Sorbonne Universit\'e,3
21),20133 Milano,3
21),Tenerife,3
21),Campus UAB,3
21),127),3
21),CA 91125,3
21),Lecce,3
21),Via per Arnesano,3
21),73100,3
21),CNRS/IN2P3,3
21),Faculdade de Ci\^encias,3
21),Universidade de Lisboa,3
21),Via Dodecaneso 33,3
21),16146,3
21),Genova,3
21),Canada,3
21),Waterloo,3
21),Paris,3
21),Observatoire de Paris,3
21),00014 Helsinki,3
21),Sorbonne Universit\'e,3
21),University of Helsinki,3
21),29),3
21),34,3
21),46),3
21),82),3
21),65),3
21),68),3
21),2,3
21),110,3
21),30),3
21),66),3
G. Rodighiero (4,73100,3
G. Rodighiero (4,Lecce,3
G. Rodighiero (4,Via per Arnesano,3
G. Rodighiero (4,Waterloo,3
G. Rodighiero (4,Canada,3
G. Rodighiero (4,University of Helsinki,3
G. Rodighiero (4,00014 Helsinki,3
G. Rodighiero (4,Sorbonne Universit\'e,3
G. Rodighiero (4,Paris,3
G. Rodighiero (4,Observatoire de Paris,3
G. Rodighiero (4,CA 91125,3
G. Rodighiero (4,Tenerife,3
G. Rodighiero (4,Campus UAB,3
G. Rodighiero (4,Via Dodecaneso 33,3
G. Rodighiero (4,16146,3
G. Rodighiero (4,Genova,3
G. Rodighiero (4,20133 Milano,3
G. Rodighiero (4,Faculdade de Ci\^encias,3
G. Rodighiero (4,Universidade de Lisboa,3
G. Rodighiero (4,CNRS/IN2P3,3
A. Grazian (5),46),2
A. Grazian (5),88),2
A. Grazian (5),2,2
A. Grazian (5),127,2
A. Grazian (5),Universit\'e Paris Cit\'e,2
A. Grazian (5),CEA,2
A. Grazian (5),Departamento de Astrof\'isica,2
A. Grazian (5),38200,2
A. Grazian (5),La Laguna,2
A. Grazian (5),Via Marzolo 8,2
A. Grazian (5),35131 Padova,2
A. Grazian (5),Marseille,2
A. Grazian (5),Via Brera 28,2
A. Grazian (5),20122 Milano,2
A. Grazian (5),CNES,2
A. Grazian (5),31,2
A. Grazian (5),18),2
A. Grazian (5),17),2
A. Grazian (5),65),2
A. Grazian (5),34,2
A. Grazian (5),29),2
A. Grazian (5),,2
A. Grazian (5),"Gustaf H\""allstr\""omin katu 2",2
A. Grazian (5),1290 Versoix,2
A. Grazian (5),Via Celoria 16,2
A. Grazian (5),California Institute of Technology,2
A. Grazian (5),75014,2
A. Grazian (5),University of Copenhagen,2
